feature,mean_abs_shap
GenHlth,0.6317496824046226
HighBP,0.519986067523444
Age,0.4287621970720554
BMI,0.39552292169160264
HighChol,0.3122094191782851
Income,0.13369935427157761
Sex,0.13166004056679267
CholCheck,0.08913669760554883
HvyAlcoholConsump,0.07189337482850819
MentHlth,0.06530482909492957
HeartDiseaseorAttack,0.061180743706088433
Education,0.04964866673196146
DiffWalk,0.04529092391634979
Fruits,0.021883749120785605
PhysHlth,0.018823733089772046
PhysActivity,0.017710932898800255
Stroke,0.01496569597592829
Smoker,0.012189066340092728
Veggies,0.007642550626944982
AnyHealthcare,0.005908466529811426
